link_id,from_node_id,to_node_id,volume,ref_volume,base_volume,obs_volume,capacity,D,doc,fftt,travel_time,VDF_alpha,VDF_beta,VDF_plf,speed,VMT,VHT,PMT,PHT,VHT_QVDF,PHT_QVDF,geometry,P,t0,t2,t3,vt2,mu,Q_gamma,free_speed,cutoff_speed,congestion_ref_speed,avg_queue_speed,avg_QVDF_period_speed,avg_QVDF_period_travel_time,Severe_Congestion_P,spd_07:00,spd_07:05,spd_07:10,spd_07:15,spd_07:20,spd_07:25,spd_07:30,spd_07:35,spd_07:40,spd_07:45,spd_07:50,spd_07:55
1,0,1,1250.448037155092,0.0,0.0,-1.0,2300.0,0,0,0.11242624305615967,0.11389960758408799,0.15,4,1.0,73.61573833485153,0.001473364527928317,174.7460223173352,2.3737590122709675,174.7460223173352,2.3737590122709675,0.0,0.0,,1250.448037155092,0,0,0,0,0,0,0,74.58048477315103,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,11,832.4650262783117,0.0,0.0,-1.0,36800.0,0,0,0.5122688946134084,0.5122688946920083,0.15,4,1.0,65.25792416649432,7.85999043628749e-11,463.81627901047074,7.107432314689073,463.81627901047074,7.107432314689073,0.0,0.0,,832.4650262783117,0,0,0,0,0,0,0,65.25792417650715,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,71,1250.448037155092,0.0,0.0,-1.0,14400.0,0,0,0.07325014641095108,0.07325015412402272,0.15,4,1.0,39.77625435733261,7.713071639714464e-09,60.722106020897044,1.5265918574282027,60.722106020897044,1.5265918574282027,0.0,0.0,,1250.448037155092,0,0,0,0,0,0,0,39.77625854568055,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,3,1031.939201101502,0.0,0.0,-1.0,2300.0,0,0,0.019255931002771325,0.019372978162281892,0.15,4,1.0,23.93527781575056,0.00011704715951056655,24.699751467328134,0.333195593462367,24.699751467328134,0.333195593462367,0.0,0.0,,1031.939201101502,0,0,0,0,0,0,0,74.58048477315103,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,198,1031.6960383324674,0.0,0.0,-1.0,36800.0,0,0,0.021612575874049522,0.021612575881872525,0.15,4,1.0,23.50653062746219,7.823002662332712e-12,24.25159452329355,0.37162681525812863,24.25159452329355,0.37162681525812863,0.0,0.0,,1031.6960383324674,0,0,0,0,0,0,0,65.25792417650715,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4,5,1388.318368107511,0.0,0.0,-1.0,9200.0,0,0,0.050439341593448254,0.050439586807669974,0.15,4,1.0,62.69650912796551,2.4521422171963625e-07,87.04271523857476,1.1671034140806922,87.04271523857476,1.1671034140806922,0.0,0.0,,1388.318368107511,0,0,0,0,0,0,0,74.58048477315103,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4,22,0.0,0.0,0.0,-1.0,1600.0,0,0,0.8466273480122287,0.8466273480122287,0.15,4,1.0,39.77625854568055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,0,0,39.77625854568055,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,5,186,1388.318368107511,0.0,0.0,-1.0,2300.0,0,0,0.12544349236332905,0.12794144574924718,0.15,4,1.0,73.12436104896213,0.002497953385918128,216.47669932574775,2.960390986265175,216.47669932574775,2.960390986265175,0.0,0.0,,1388.318368107511,0,0,0,0,0,0,0,74.58048477315103,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6,7,897.8350182343349,0.0,0.0,-1.0,9200.0,0,0,0.06770069407334683,0.06770075164374707,0.15,4,1.0,74.58042135246139,5.757040023868232e-08,75.55507010294654,1.013068426442364,75.55507010294654,1.013068426442364,0.0,0.0,,897.8350182343349,0,0,0,0,0,0,0,74.58048477315103,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,6,207,0.0,0.0,0.0,-1.0,1600.0,0,0,0.3833939844905365,0.3833939844905365,0.15,4,1.0,39.77625854568055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,0,0,39.77625854568055,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,7,191,897.8350182343349,0.0,0.0,-1.0,2300.0,0,0,0.07640885394012452,0.07667499370042861,0.15,4,1.0,74.32161507674859,0.00026613976030409603,85.27351742771452,1.147358239452364,85.27351742771452,1.147358239452364,0.0,0.0,,897.8350182343349,0,0,0,0,0,0,0,74.58048477315103,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,8,9,90.37896865918735,0.0,0.0,-1.0,2300.0,0,0,0.13078236419898842,0.13078241097235432,0.15,4,1.0,74.58045809999003,4.677336590264147e-08,14.692324667638037,0.19699965704072284,14.692324667638037,0.19699965704072284,0.0,0.0,,90.37896865918735,0,0,0,0,0,0,0,74.58048477315103,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,8,196,109.62103134081266,0.0,0.0,-1.0,36800.0,0,0,0.4876512394610747,0.48765123946109723,0.15,4,1.0,65.25792417650412,2.2537527399890678e-14,58.14136461007462,0.8909471967391848,58.14136461007462,0.8909471967391848,0.0,0.0,,109.62103134081266,0,0,0,0,0,0,0,65.25792417650715,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
