o_zone_id,d_zone_id,mode_id,cost_ours,cost_nx,diff,diff_pct
1,2,1,2.784844744917615,2.784844744917615,0.0,0.0
1,24,1,4.277237242551959,4.277237242551959,0.0,0.0
1,25,1,3.336087546758298,3.336087546758298,0.0,0.0
1,34,1,4.57171653358564,4.57171653358564,0.0,0.0
1,38,1,3.794215203459626,3.794215203459626,0.0,0.0
1,40,1,5.0438727437512085,5.0438727437512085,0.0,0.0
1,51,1,5.21619954342419,5.21619954342419,0.0,0.0
1,52,1,5.164447264983515,5.164447264983515,0.0,0.0
1,53,1,4.416149138888346,4.416149138888346,0.0,0.0
1,57,1,4.0595352097532444,4.0595352097532444,0.0,0.0
1,70,1,4.180210513260538,4.180210513260538,0.0,0.0
1,74,1,3.725192913654488,3.7251929136544883,-4.440892098500626e-16,-1.1921240594608624e-14
1,80,1,4.604877056151975,4.604877056151975,0.0,0.0
1,85,1,4.208698779080244,4.208698779080244,0.0,0.0
1,89,1,5.524431196284546,5.524431196284546,0.0,0.0
1,90,1,4.933596046471579,4.933596046471579,0.0,0.0
1,92,1,4.256919750154899,4.256919750154899,0.0,0.0
1,96,1,3.4810569130823814,3.4810569130823814,0.0,0.0
1,101,1,3.519259465448569,3.519259465448569,0.0,0.0
1,119,1,3.896089212037234,3.896089212037234,0.0,0.0
1,130,1,3.6852137724160223,3.6852137724160223,0.0,0.0
1,139,1,3.4525429384095343,3.4525429384095343,0.0,0.0
1,149,1,4.636853215892407,4.6368532158924065,8.881784197001252e-16,1.9154766785715186e-14
1,155,1,4.16757238027035,4.16757238027035,0.0,0.0
1,162,1,4.308832530394003,4.308832530394003,0.0,0.0
1,165,1,5.621095323626456,5.621095323626456,0.0,0.0
1,167,1,4.216012144397259,4.216012144397259,0.0,0.0
1,176,1,3.303494434053712,3.3034944340537113,4.440892098500626e-16,1.3443013715180431e-14
1,178,1,4.338547858350097,4.338547858350097,0.0,0.0
1,181,1,3.592283498925469,3.592283498925469,0.0,0.0
1,188,1,3.782844570489411,3.782844570489411,0.0,0.0
1,191,1,4.026308838006353,4.026308838006353,0.0,0.0
1,194,1,3.707038624862189,3.7070386248621885,4.440892098500626e-16,1.1979621870451157e-14
1,201,1,5.550385265465968,5.550385265465968,0.0,0.0
1,202,1,5.5687662920602765,5.5687662920602765,0.0,0.0
1,206,1,2.104485298321051,2.104485298321051,0.0,0.0
1,210,1,5.651749292522756,5.651749292522756,0.0,0.0
1,213,1,4.002747298970386,4.002747298970386,0.0,0.0
1,221,1,4.18162101877611,4.18162101877611,0.0,0.0
1,223,1,3.442088986734136,3.442088986734136,0.0,0.0
1,231,1,4.591787828007133,4.591787828007133,0.0,0.0
1,232,1,5.693859858366961,5.693859858366961,0.0,0.0
1,241,1,2.8678953798976745,2.8678953798976745,0.0,0.0
1,256,1,3.403690761430151,3.403690761430151,0.0,0.0
1,268,1,3.127206685659959,3.127206685659959,0.0,0.0
1,287,1,2.054269748723523,2.054269748723523,0.0,0.0
1,306,1,2.9988776423320838,2.9988776423320833,4.440892098500626e-16,1.480851381134429e-14
1,310,1,6.574229361992227,6.574229361992227,0.0,0.0
1,312,1,2.494055120643956,2.4940551206439556,4.440892098500626e-16,1.7805909988685434e-14
1,359,1,3.694851735804741,3.736202997812769,-0.041351262008027856,-1.1067723577181305
1,360,1,3.5463031258155526,3.5463031258155526,0.0,0.0
1,361,1,3.306799449951977,3.306799449951977,0.0,0.0
1,365,1,3.420240478572405,3.420240478572405,0.0,0.0
1,374,1,3.882773097312296,3.8827730973122963,-4.440892098500626e-16,-1.1437423684568812e-14
1,377,1,5.724307353036471,5.724307353036471,0.0,0.0
1,381,1,3.439218968201694,3.439218968201694,0.0,0.0
1,382,1,3.2118102365388475,3.2118102365388475,0.0,0.0
1,383,1,4.260938454528386,4.260938454528386,0.0,0.0
1,393,1,4.3365666698549,4.3365666698549,0.0,0.0
1,394,1,4.394434441736541,4.394434441736541,0.0,0.0
1,395,1,4.367320171290271,4.367320171290271,0.0,0.0
1,398,1,3.816666530667408,3.8166665306674075,4.440892098500626e-16,1.1635525563518548e-14
1,399,1,3.4449400806941264,3.4449400806941264,0.0,0.0
1,401,1,4.107236737020855,4.107236737020855,0.0,0.0
1,408,1,5.181723078693306,5.181723078693306,0.0,0.0
1,416,1,3.9706056087322392,3.9706056087322392,0.0,0.0
1,419,1,4.552422664171115,4.552422664171115,0.0,0.0
1,420,1,4.521289243017102,4.521289243017102,0.0,0.0
1,421,1,4.227891241351823,4.227891241351823,0.0,0.0
1,431,1,2.3933389923930664,2.3933389923930664,0.0,0.0
1,433,1,3.550201141406238,3.550201141406238,0.0,0.0
1,438,1,3.6773111566143353,3.6773111566143353,0.0,0.0
1,449,1,4.854316192063648,4.854316192063648,0.0,0.0
1,453,1,3.820478850080956,3.820478850080956,0.0,0.0
1,469,1,2.8557022719162606,2.8557022719162606,0.0,0.0
1,588,1,4.701909855589276,4.7019098555892755,8.881784197001252e-16,1.8889737297798802e-14
1,687,1,3.128762785409813,3.128762785409813,0.0,0.0
1,705,1,4.416940935858356,4.416940935858356,0.0,0.0
1,708,1,2.3934655727880463,2.3934655727880463,0.0,0.0
1,710,1,4.87081752657256,4.87081752657256,0.0,0.0
1,727,1,2.4678331616421287,2.4678331616421287,0.0,0.0
1,735,1,3.2839471360486723,3.2839471360486723,0.0,0.0
1,750,1,2.7556809075681423,2.7556809075681423,0.0,0.0
1,751,1,2.754361186440226,2.7543611864402266,-4.440892098500626e-16,-1.6123129095643752e-14
