,original_cost,networkx_cost,dijkstra_heap_cost,fifo_lc_cost,networkx_cost_diff_pct,dijkstra_heap_cost_diff_pct,fifo_lc_cost_diff_pct
count,63294.0,63294.0,63294.0,63294.0,63294.0,63294.0,63294.0
mean,3.2978647615197962,3.298875075226737,3.298875075226737,3.298875075226737,0.0379250597086393,0.0379250597086393,0.0379250597086393
std,1.3091401241326877,1.309092179644964,1.309092179644964,1.309092179644964,0.4633320284347194,0.4633320284347194,0.4633320284347194
min,0.0089531081064287,0.008953108106428721,0.008953108106428721,0.008953108106428721,-2.462723110573254e-14,-2.462723110573254e-14,-2.462723110573254e-14
25%,2.361101697357302,2.3623593036346016,2.3623593036346016,2.3623593036346016,0.0,0.0,0.0
50%,3.2456050595940837,3.2473159480638913,3.2473159480638913,3.2473159480638913,0.0,0.0,0.0
75%,4.172197474363937,4.173442032803154,4.173442032803154,4.173442032803154,0.0,0.0,0.0
max,8.924041391413342,8.924041391413342,8.924041391413342,8.924041391413342,38.25771324863883,38.25771324863883,38.25771324863883
