o_zone_id,d_zone_id,mode_id,cost_ours,cost_nx,diff,diff_pct
1,2,1,2.784844744917615,2785.433214285714,-2782.648369540796,-99.90002112667304
1,24,1,4.277237242551959,4278.14107142857,-4273.863834186019,-99.90002112667305
1,25,1,3.336087546758298,3336.7924999999987,-3333.4564124532403,-99.90002112667304
1,34,1,4.57171653358564,4572.682589285714,-4568.110872752129,-99.90002112667305
1,38,1,3.794215203459626,3795.016964285714,-3791.2227490822543,-99.90002112667304
1,40,1,5.0438727437512085,5044.938571428571,-5039.89469868482,-99.90002112667304
1,51,1,5.21619954342419,5217.301785714284,-5212.08558617086,-99.90002112667304
1,52,1,5.164447264983515,5165.538571428571,-5160.374124163588,-99.90002112667305
1,53,1,4.416149138888346,4417.082321428569,-4412.666172289681,-99.90002112667304
1,57,1,4.0595352097532444,4060.3930357142845,-4056.333500504531,-99.90002112667304
1,70,1,4.180210513260538,4181.093839285713,-4176.913628772453,-99.90002112667305
1,74,1,3.725192913654488,3725.9800892857143,-3722.2548963720596,-99.90002112667304
1,80,1,4.604877056151975,4605.850119047617,-4601.245241991465,-99.90002112667304
1,85,1,4.208698779080244,4209.588125,-4205.37942622092,-99.90002112667305
1,89,1,5.524431196284546,5525.598571428571,-5520.0741402322865,-99.90002112667305
1,90,1,4.933596046471579,4934.638571428571,-4929.704975382099,-99.90002112667305
1,92,1,4.256919750154899,4257.819285714286,-4253.562365964131,-99.90002112667304
1,96,1,3.4810569130823814,3481.792499999999,-3478.311443086917,-99.90002112667304
1,101,1,3.519259465448569,3520.0031250000006,-3516.483865534552,-99.90002112667304
1,119,1,3.896089212037234,3896.9124999999995,-3893.0164107879623,-99.90002112667304
1,130,1,3.6852137724160223,3685.9924999999994,-3682.3072862275835,-99.90002112667305
1,139,1,3.4525429384095343,3453.272499999999,-3449.81995706159,-99.90002112667305
1,149,1,4.636853215892407,4637.833035714285,-4633.196182498393,-99.90002112667305
1,155,1,4.16757238027035,4168.453035714285,-4164.285463334015,-99.90002112667305
1,162,1,4.308832530394003,4309.743035714285,-4305.4342031838905,-99.90002112667304
1,165,1,5.621095323626456,5622.283125,-5616.662029676373,-99.90002112667304
1,167,1,4.216012144397259,4216.903035714285,-4212.687023569887,-99.90002112667304
1,176,1,3.303494434053712,3304.1924999999987,-3300.889005565945,-99.90002112667304
1,178,1,4.338547858350097,4339.464642857142,-4335.126094998792,-99.90002112667304
1,181,1,3.592283498925469,3593.0425892857143,-3589.4503057867887,-99.90002112667304
1,188,1,3.782844570489411,3783.643928571428,-3779.8610840009387,-99.90002112667304
1,191,1,4.026308838006353,4027.159642857142,-4023.1333340191354,-99.90002112667304
1,194,1,3.707038624862189,3707.8219642857143,-3704.1149256608524,-99.90002112667305
1,201,1,5.550385265465968,5551.5581250000005,-5546.007739734535,-99.90002112667305
1,202,1,5.5687662920602765,5569.943035714285,-5564.374269422225,-99.90002112667305
1,206,1,2.104485298321051,2104.93,-2102.825514701679,-99.90002112667305
1,210,1,5.651749292522756,5652.943571428571,-5647.291822136048,-99.90002112667304
1,213,1,4.002747298970386,4003.5931250000003,-3999.59037770103,-99.90002112667304
1,221,1,4.18162101877611,4182.504642857142,-4178.323021838366,-99.90002112667304
